Neighborhood,Latitude,Longitude,Venue,VenueLatitude,VenueLongitude,VenueCategory
Palacio,40.41512925,-3.71561799839909,Santa Iglesia Catedral de Santa María la Real de la Almudena (Catedral de la Almudena),40.415766932642,-3.71451616287231,Church
Palacio,40.41512925,-3.71561799839909,Plaza de La Almudena,40.4163196073764,-3.71377692987061,Plaza
Palacio,40.41512925,-3.71561799839909,Cervecería La Mayor,40.4152178610279,-3.71219385208784,Beer Bar
Palacio,40.41512925,-3.71561799839909,Taberna Rayuela,40.4131789115654,-3.71349629719347,Tapas Restaurant
Palacio,40.41512925,-3.71561799839909,Palacio Real de Madrid,40.4179397201085,-3.71425867080689,Palace
Palacio,40.41512925,-3.71561799839909,Charlie Champagne,40.4139364009975,-3.71264734828638,Restaurant
Palacio,40.41512925,-3.71561799839909,Corral de la Morería,40.4126190198544,-3.71424932893069,Performing Arts Venue
Palacio,40.41512925,-3.71561799839909,Jardines de las Vistillas,40.4123433475275,-3.71476327234602,Park
Palacio,40.41512925,-3.71561799839909,El Landó,40.411899822,-3.71507637,Spanish Restaurant
Palacio,40.41512925,-3.71561799839909,Mercado Jamón Iberico,40.41544225,-3.71164314,Market
Palacio,40.41512925,-3.71561799839909,Pizzeria Mayor,40.4127885999663,-3.71747351355129,Pizza Place
Palacio,40.41512925,-3.71561799839909,Zuccaru,40.417179,-3.711674,Ice Cream Shop
Palacio,40.41512925,-3.71561799839909,Gauranga Trascendental Food,40.412891557155,-3.7134861946106,Vegetarian / Vegan Restaurant
Palacio,40.41512925,-3.71561799839909,Plaza de Ramales,40.4170368988645,-3.71162590917082,Plaza
Palacio,40.41512925,-3.71561799839909,Zoco Comidero Bar,40.4132890754886,-3.71346316637502,Gastropub
Palacio,40.41512925,-3.71561799839909,Plaza de Oriente,40.418325668438,-3.71219605207443,Plaza
Palacio,40.41512925,-3.71561799839909,la gastroteca de santiago,40.4166394850381,-3.71094399535737,Restaurant
Palacio,40.41512925,-3.71561799839909,Gastrobar Peruano Pisco 41,40.4159750012977,-3.7116781272414,Peruvian Restaurant
Palacio,40.41512925,-3.71561799839909,Plaza de la Paja,40.4129046922137,-3.71167571827138,Plaza
Palacio,40.41512925,-3.71561799839909,Champañería María Pandora,40.4125445355186,-3.71464449543059,Bar
Palacio,40.41512925,-3.71561799839909,"Turkana, El Bar.",40.4138021703357,-3.7117124007859,Bar
Palacio,40.41512925,-3.71561799839909,Plaza de la Villa,40.4154086017887,-3.71039092421319,Historic Site
Palacio,40.41512925,-3.71561799839909,Muralla musulmana de Madrid,40.4148806097567,-3.7149895156627,Historic Site
Palacio,40.41512925,-3.71561799839909,Tienda La Rebelión de los Mandiles,40.4151326550059,-3.7133581694445,Wine Shop
Palacio,40.41512925,-3.71561799839909,Jardín del Príncipe de Anglona,40.4135950804496,-3.71142852837756,Garden
Palacio,40.41512925,-3.71561799839909,Café Bar Delic,40.4127387078758,-3.71167845012561,Café
Palacio,40.41512925,-3.71561799839909,Restaurante Taberneros,40.4164577757896,-3.71038562065057,Spanish Restaurant
Palacio,40.41512925,-3.71561799839909,El Sainete,40.4135819836135,-3.71024187912841,Beer Bar
